User_ID,Recent_tweet
@FabrizioRomano,Arsenal are in talks to sign Kai Havertz after positive contacts on player side — he’s keen on the move. 
@DiscussingFilm,"Tom Holland says he, Andrew Garfield and Tobey Maguire have a group chat named ‘The Spider Boys’.

(Source: "
@DiscussingFilm,"Zoe Saldaña reacts to ‘AVATAR 5’ being delayed to 2031:

“Great! I’m gonna be 53 when the last ‘Avatar’ movie comes out. I was 27 when I shot the very first ‘Avatar’ movie.”

See what other movies just got delayed: "
@DontShowYourCat,equipment upgrade
